age,marital_status,relationship,sex,capital_gain,capital_loss,hours_per_week,income,workclass_grouped,education_grouped,occupation_grouped
47,Married-civ-spouse,Husband,Male,0,0,60,<=50K,Private,Some College,Support
35,Never-married,Not-in-family,Male,0,0,40,<=50K,Self-Employed,High School,Blue-Collar
51,Married-civ-spouse,Husband,Male,0,0,55,<=50K,Self-Employed,Some College,Blue-Collar
37,Never-married,Other-relative,Male,0,0,40,<=50K,Government,Bachelors,White-Collar
37,Divorced,Unmarried,Female,0,0,40,<=50K,Private,Some College,White-Collar
31,Married-civ-spouse,Wife,Female,0,0,40,>50K,Private,High School,White-Collar
49,Married-civ-spouse,Husband,Male,0,0,40,>50K,Self-Employed,High School,White-Collar
46,Married-civ-spouse,Wife,Female,0,0,28,>50K,Private,High School,White-Collar
40,Never-married,Unmarried,Female,0,0,35,<=50K,Private,High School,White-Collar
45,Divorced,Not-in-family,Male,0,0,50,<=50K,Private,Some College,White-Collar
31,Never-married,Own-child,Female,0,0,40,<=50K,Government,Bachelors,White-Collar
25,Married-spouse-absent,Unmarried,Male,0,0,40,<=50K,Private,Some College,White-Collar
61,Divorced,Not-in-family,Male,0,0,40,<=50K,Private,High School,Service
27,Never-married,Own-child,Male,0,0,40,<=50K,Self-Employed,Some College,Blue-Collar
44,Never-married,Other-relative,Male,0,0,32,<=50K,Private,High School,Service
27,Never-married,Not-in-family,Female,0,0,60,<=50K,Private,High School,Service
30,Never-married,Not-in-family,Male,0,0,60,<=50K,Private,High School,Blue-Collar
30,Married-civ-spouse,Husband,Male,0,0,48,<=50K,Private,Some College,Blue-Collar
19,Never-married,Own-child,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
21,Never-married,Own-child,Male,0,0,40,<=50K,Private,High School,Blue-Collar
47,Married-civ-spouse,Husband,Male,0,0,40,>50K,Government,High School,White-Collar
31,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,Bachelors,White-Collar
45,Married-civ-spouse,Husband,Male,0,0,40,>50K,Private,Some College,Blue-Collar
20,Never-married,Own-child,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
34,Never-married,Not-in-family,Male,0,0,45,<=50K,Private,Bachelors,Sales
57,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Some College,Service
26,Married-civ-spouse,Husband,Male,5013,0,38,<=50K,Private,High School,Sales
38,Divorced,Not-in-family,Male,0,0,40,<=50K,Private,Some College,Blue-Collar
37,Divorced,Unmarried,Male,0,0,45,<=50K,Private,High School,Sales
41,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
34,Divorced,Unmarried,Male,0,880,60,<=50K,Private,Dropout,Blue-Collar
26,Married-civ-spouse,Husband,Male,2407,0,50,<=50K,Private,Some College,White-Collar
22,Never-married,Own-child,Female,0,0,20,<=50K,Private,Some College,White-Collar
44,Divorced,Own-child,Female,0,0,60,<=50K,Government,Bachelors,White-Collar
46,Separated,Not-in-family,Female,0,0,40,<=50K,Private,High School,Sales
37,Divorced,Not-in-family,Male,0,0,50,<=50K,Private,High School,Blue-Collar
53,Married-civ-spouse,Husband,Male,0,0,35,<=50K,Self-Employed,High School,Sales
49,Married-civ-spouse,Husband,Male,0,0,45,<=50K,Private,Dropout,Blue-Collar
25,Never-married,Unmarried,Female,0,0,40,<=50K,Private,High School,White-Collar
47,Married-civ-spouse,Wife,Female,0,0,38,<=50K,Private,High School,Service
36,Married-civ-spouse,Husband,Male,15024,0,55,>50K,Private,Bachelors,White-Collar
41,Married-civ-spouse,Husband,Male,0,0,50,<=50K,Self-Employed,Some College,Blue-Collar
22,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,High School,Support
20,Never-married,Not-in-family,Female,0,0,32,<=50K,Private,Some College,Support
23,Separated,Unmarried,Male,0,0,40,<=50K,Government,Some College,White-Collar
29,Married-civ-spouse,Husband,Male,0,0,50,>50K,Private,Bachelors,White-Collar
33,Married-civ-spouse,Husband,Male,0,0,46,<=50K,Private,Some College,Sales
26,Never-married,Not-in-family,Female,0,1974,40,<=50K,Private,Some College,White-Collar
68,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,White-Collar
34,Divorced,Unmarried,Female,0,0,38,<=50K,Private,Dropout,Service
28,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
25,Married-civ-spouse,Wife,Female,0,0,40,>50K,Private,Some College,White-Collar
38,Divorced,Unmarried,Female,0,0,40,<=50K,Private,Some College,Sales
36,Married-civ-spouse,Husband,Male,0,0,40,>50K,Government,Some College,White-Collar
61,Married-civ-spouse,Husband,Male,0,0,25,<=50K,Private,Some College,Support
40,Married-civ-spouse,Husband,Male,0,0,80,>50K,Private,Bachelors,Blue-Collar
64,Widowed,Not-in-family,Male,8614,0,50,>50K,Government,Advanced,White-Collar
18,Never-married,Own-child,Female,0,0,20,<=50K,Private,Some College,Sales
38,Divorced,Not-in-family,Male,0,0,30,<=50K,Self-Employed,High School,Blue-Collar
34,Divorced,Unmarried,Female,0,0,40,<=50K,Private,High School,White-Collar
46,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
37,Married-civ-spouse,Husband,Male,0,0,45,<=50K,Private,Bachelors,White-Collar
42,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,Bachelors,Sales
32,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Blue-Collar
67,Married-civ-spouse,Husband,Male,0,0,50,>50K,Self-Employed,Bachelors,Sales
33,Married-spouse-absent,Not-in-family,Male,0,0,20,<=50K,Private,High School,Sales
23,Divorced,Own-child,Female,0,0,40,<=50K,Private,Some College,Sales
41,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Government,High School,Blue-Collar
56,Never-married,Unmarried,Female,0,0,20,<=50K,Private,Bachelors,White-Collar
40,Never-married,Not-in-family,Male,0,0,32,<=50K,Private,Some College,Blue-Collar
56,Divorced,Not-in-family,Male,0,0,40,<=50K,Private,Dropout,White-Collar
33,Divorced,Not-in-family,Female,0,0,40,<=50K,Self-Employed,Some College,Blue-Collar
20,Never-married,Not-in-family,Female,0,0,10,<=50K,Private,Some College,Support
45,Married-civ-spouse,Husband,Male,0,0,80,<=50K,Self-Employed,High School,Blue-Collar
23,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
46,Married-civ-spouse,Husband,Male,0,0,50,<=50K,Self-Employed,High School,Blue-Collar
51,Never-married,Not-in-family,Female,0,0,12,<=50K,Private,Some College,White-Collar
23,Never-married,Not-in-family,Female,0,0,40,<=50K,Government,Bachelors,White-Collar
72,Married-civ-spouse,Husband,Male,0,2246,28,>50K,Self-Employed,Advanced,White-Collar
30,Never-married,Not-in-family,Female,0,0,50,<=50K,Private,Bachelors,Sales
21,Never-married,Own-child,Female,0,0,40,<=50K,Private,Some College,Service
30,Divorced,Unmarried,Female,0,0,32,<=50K,Private,High School,Service
55,Married-civ-spouse,Husband,Male,0,0,43,>50K,Government,Some College,Blue-Collar
64,Divorced,Not-in-family,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
34,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Blue-Collar
38,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
32,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Blue-Collar
20,Never-married,Own-child,Male,0,0,35,<=50K,Private,Some College,Service
49,Married-civ-spouse,Wife,Female,0,0,50,>50K,Private,Bachelors,White-Collar
44,Never-married,Not-in-family,Male,8614,0,50,>50K,Self-Employed,Advanced,White-Collar
64,Married-spouse-absent,Unmarried,Female,0,0,40,<=50K,Private,Some College,White-Collar
37,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,Some College,Blue-Collar
75,Widowed,Not-in-family,Female,0,0,40,<=50K,Private,High School,White-Collar
36,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,High School,Sales
30,Never-married,Unmarried,Male,0,0,28,<=50K,Private,Dropout,Service
42,Never-married,Not-in-family,Female,0,0,40,<=50K,Government,Some College,White-Collar
51,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Bachelors,Blue-Collar
18,Never-married,Own-child,Male,0,0,5,<=50K,Private,Dropout,Blue-Collar
30,Never-married,Unmarried,Male,0,0,72,<=50K,Private,High School,Blue-Collar
57,Widowed,Other-relative,Female,0,1719,25,<=50K,Private,High School,Service
32,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
36,Never-married,Not-in-family,Male,0,0,40,<=50K,Government,Advanced,White-Collar
31,Never-married,Not-in-family,Male,0,0,50,>50K,Private,High School,Blue-Collar
28,Never-married,Own-child,Male,0,0,30,<=50K,Private,High School,Service
60,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,White-Collar
38,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Blue-Collar
23,Never-married,Not-in-family,Male,0,0,30,<=50K,Self-Employed,Some College,Blue-Collar
26,Divorced,Not-in-family,Male,0,0,40,<=50K,Private,Some College,White-Collar
18,Never-married,Own-child,Female,0,0,20,<=50K,Private,High School,Service
27,Married-civ-spouse,Wife,Female,0,0,48,<=50K,Government,Bachelors,Service
28,Never-married,Own-child,Male,0,0,40,<=50K,Private,High School,Blue-Collar
35,Married-civ-spouse,Husband,Male,7298,0,38,>50K,Private,High School,Support
47,Married-civ-spouse,Husband,Male,0,0,40,>50K,Government,Some College,Service
40,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Blue-Collar
32,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
38,Married-civ-spouse,Wife,Female,0,0,43,<=50K,Private,High School,Service
42,Married-civ-spouse,Husband,Male,0,0,50,>50K,Private,High School,Blue-Collar
44,Married-civ-spouse,Husband,Male,0,0,30,>50K,Self-Employed,Advanced,White-Collar
42,Separated,Unmarried,Female,0,0,25,<=50K,Private,High School,Service
71,Widowed,Not-in-family,Female,0,0,35,<=50K,Self-Employed,High School,White-Collar
28,Separated,Unmarried,Female,0,0,40,<=50K,Private,High School,Service
19,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,High School,Sales
17,Never-married,Own-child,Female,0,0,20,<=50K,Private,Dropout,Sales
58,Married-civ-spouse,Husband,Male,3411,0,80,<=50K,Private,High School,Blue-Collar
18,Never-married,Not-in-family,Female,0,0,35,<=50K,Private,High School,Sales
63,Married-civ-spouse,Husband,Male,0,0,32,<=50K,Private,Dropout,Blue-Collar
40,Married-civ-spouse,Husband,Male,0,0,40,>50K,Private,High School,Blue-Collar
31,Married-civ-spouse,Husband,Male,0,0,50,<=50K,Private,Some College,Sales
38,Divorced,Unmarried,Female,0,0,38,<=50K,Government,Some College,White-Collar
31,Never-married,Not-in-family,Female,0,0,36,<=50K,Private,Dropout,Blue-Collar
30,Never-married,Not-in-family,Male,0,0,15,<=50K,Private,Bachelors,Service
53,Never-married,Not-in-family,Male,0,0,40,<=50K,Government,Some College,White-Collar
41,Separated,Unmarried,Female,0,0,40,<=50K,Private,High School,White-Collar
34,Divorced,Unmarried,Female,0,0,25,<=50K,Private,Bachelors,Blue-Collar
62,Married-civ-spouse,Husband,Male,0,0,40,>50K,Private,Some College,Blue-Collar
35,Separated,Not-in-family,Male,0,0,40,<=50K,Government,Some College,Blue-Collar
35,Married-civ-spouse,Husband,Male,0,0,50,<=50K,Self-Employed,Advanced,White-Collar
42,Never-married,Not-in-family,Female,0,0,40,>50K,Government,Advanced,White-Collar
30,Divorced,Not-in-family,Male,0,0,40,<=50K,Self-Employed,High School,Blue-Collar
28,Never-married,Not-in-family,Male,0,0,45,<=50K,Private,Some College,Blue-Collar
50,Married-civ-spouse,Wife,Female,0,0,50,>50K,Self-Employed,Bachelors,Support
58,Separated,Not-in-family,Female,2907,0,43,<=50K,Private,High School,Service
52,Separated,Other-relative,Female,0,0,20,<=50K,Private,High School,Service
46,Divorced,Not-in-family,Male,8614,0,40,>50K,Private,Bachelors,Sales
39,Married-civ-spouse,Husband,Male,0,1848,47,>50K,Private,Some College,White-Collar
67,Married-civ-spouse,Husband,Male,0,0,30,>50K,Private,Advanced,Sales
22,Never-married,Own-child,Male,0,0,40,<=50K,Private,High School,Service
48,Widowed,Unmarried,Female,0,0,40,<=50K,Government,Some College,Service
30,Married-civ-spouse,Husband,Male,15024,0,60,>50K,Private,Some College,White-Collar
24,Never-married,Own-child,Female,0,0,20,<=50K,Private,Some College,White-Collar
53,Married-spouse-absent,Not-in-family,Male,0,0,99,<=50K,Self-Employed,Dropout,Blue-Collar
45,Married-civ-spouse,Husband,Male,0,0,50,>50K,Private,Bachelors,White-Collar
54,Married-civ-spouse,Husband,Male,0,0,70,<=50K,Self-Employed,Dropout,Blue-Collar
31,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
57,Separated,Not-in-family,Male,2174,0,40,<=50K,Private,High School,Blue-Collar
37,Divorced,Own-child,Male,0,0,45,<=50K,Private,High School,Support
38,Divorced,Not-in-family,Female,14344,0,40,>50K,Private,Some College,White-Collar
34,Married-civ-spouse,Husband,Male,15024,0,45,>50K,Private,Some College,Blue-Collar
22,Never-married,Own-child,Female,0,0,20,<=50K,Government,Bachelors,White-Collar
44,Married-civ-spouse,Other-relative,Female,0,0,40,<=50K,Government,High School,White-Collar
18,Never-married,Own-child,Female,0,0,6,<=50K,Government,Dropout,Service
27,Never-married,Own-child,Male,0,0,40,<=50K,Government,Some College,Blue-Collar
30,Married-civ-spouse,Husband,Male,0,0,38,<=50K,Private,Some College,Blue-Collar
65,Married-civ-spouse,Husband,Male,0,0,50,<=50K,Self-Employed,High School,Sales
19,Never-married,Own-child,Female,0,1602,20,<=50K,Government,Some College,White-Collar
26,Never-married,Not-in-family,Female,0,0,35,<=50K,Private,Some College,Service
37,Divorced,Unmarried,Female,0,0,48,<=50K,Self-Employed,Bachelors,Service
20,Never-married,Own-child,Female,0,0,10,<=50K,Private,Some College,Service
41,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,Advanced,White-Collar
35,Separated,Unmarried,Male,0,0,40,<=50K,Private,High School,Blue-Collar
55,Separated,Unmarried,Female,0,0,40,<=50K,Private,Dropout,White-Collar
21,Never-married,Not-in-family,Male,2174,0,40,<=50K,Private,Some College,White-Collar
69,Married-civ-spouse,Husband,Male,20051,0,45,>50K,Self-Employed,Bachelors,White-Collar
46,Divorced,Not-in-family,Male,0,0,55,<=50K,Private,High School,Blue-Collar
32,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,Bachelors,White-Collar
50,Married-civ-spouse,Husband,Male,15024,0,50,>50K,Private,Advanced,White-Collar
57,Divorced,Not-in-family,Male,0,0,60,>50K,Self-Employed,Bachelors,Sales
29,Never-married,Not-in-family,Male,0,0,70,<=50K,Private,Some College,White-Collar
37,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Blue-Collar
50,Married-civ-spouse,Husband,Male,7298,0,65,>50K,Private,Bachelors,White-Collar
45,Married-civ-spouse,Husband,Male,0,0,50,<=50K,Private,Bachelors,Blue-Collar
26,Married-civ-spouse,Husband,Male,0,0,50,<=50K,Private,High School,Blue-Collar
57,Never-married,Unmarried,Female,0,0,40,<=50K,Private,High School,Sales
51,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Government,High School,Support
71,Widowed,Not-in-family,Female,0,0,40,<=50K,Government,Advanced,White-Collar
39,Divorced,Other-relative,Female,0,0,35,<=50K,Private,Some College,Sales
30,Married-civ-spouse,Husband,Male,0,0,55,<=50K,Private,Dropout,Blue-Collar
18,Never-married,Not-in-family,Female,0,0,20,<=50K,Private,Dropout,Service
22,Never-married,Other-relative,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
18,Never-married,Own-child,Female,0,0,30,<=50K,Self-Employed,Some College,White-Collar
38,Married-civ-spouse,Husband,Male,99999,0,60,>50K,Self-Employed,Advanced,White-Collar
28,Divorced,Unmarried,Female,0,0,35,<=50K,Private,High School,Sales
43,Married-civ-spouse,Wife,Female,0,0,40,>50K,Private,High School,White-Collar
45,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Some College,Blue-Collar
32,Married-civ-spouse,Wife,Female,0,0,20,>50K,Self-Employed,Bachelors,Service
24,Never-married,Own-child,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
60,Married-civ-spouse,Wife,Female,0,0,40,<=50K,Self-Employed,Some College,Service
22,Never-married,Own-child,Male,0,0,36,<=50K,Private,Some College,Service
23,Never-married,Own-child,Male,0,0,10,<=50K,Government,Some College,White-Collar
37,Divorced,Unmarried,Female,0,0,38,<=50K,Private,Some College,White-Collar
28,Divorced,Not-in-family,Female,0,0,40,<=50K,Private,High School,White-Collar
55,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Bachelors,Blue-Collar
68,Widowed,Not-in-family,Female,0,0,2,<=50K,Unemployed,Bachelors,Service
35,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,High School,Blue-Collar
28,Never-married,Own-child,Male,0,0,18,<=50K,Private,Advanced,White-Collar
37,Married-civ-spouse,Husband,Male,0,0,45,<=50K,Private,Some College,Blue-Collar
31,Married-civ-spouse,Husband,Male,0,2179,35,<=50K,Private,Dropout,Service
37,Married-civ-spouse,Husband,Male,0,0,99,>50K,Government,Some College,Service
40,Married-civ-spouse,Husband,Male,0,1977,40,>50K,Self-Employed,Bachelors,White-Collar
23,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,High School,Sales
33,Married-civ-spouse,Wife,Female,0,0,40,<=50K,Private,Some College,Blue-Collar
32,Never-married,Not-in-family,Female,0,0,38,<=50K,Private,Some College,White-Collar
20,Never-married,Own-child,Female,0,0,20,<=50K,Private,High School,Sales
32,Married-civ-spouse,Husband,Male,0,1887,55,>50K,Private,Bachelors,White-Collar
23,Never-married,Own-child,Female,0,0,40,<=50K,Private,Bachelors,White-Collar
31,Never-married,Own-child,Male,0,0,45,<=50K,Private,Some College,Support
62,Married-civ-spouse,Husband,Male,0,0,40,>50K,Private,High School,Service
53,Divorced,Unmarried,Female,0,0,40,<=50K,Private,High School,Service
40,Divorced,Unmarried,Female,0,0,38,<=50K,Private,Bachelors,Blue-Collar
37,Married-civ-spouse,Wife,Female,0,0,50,<=50K,Self-Employed,Bachelors,Sales
37,Never-married,Not-in-family,Male,0,0,50,<=50K,Self-Employed,High School,Blue-Collar
19,Never-married,Unmarried,Female,0,0,40,<=50K,Government,High School,White-Collar
21,Married-civ-spouse,Husband,Male,0,0,35,<=50K,Private,Dropout,Blue-Collar
23,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,Bachelors,White-Collar
20,Never-married,Not-in-family,Male,0,0,40,<=50K,Government,High School,White-Collar
21,Married-civ-spouse,Husband,Male,0,0,20,<=50K,Private,High School,Blue-Collar
36,Married-civ-spouse,Husband,Male,0,0,60,>50K,Private,Advanced,White-Collar
27,Never-married,Not-in-family,Male,0,0,49,<=50K,Private,Some College,Sales
27,Divorced,Unmarried,Female,0,0,40,<=50K,Private,Some College,Service
33,Divorced,Not-in-family,Male,0,0,75,<=50K,Self-Employed,High School,Service
59,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Bachelors,Blue-Collar
18,Never-married,Own-child,Female,0,0,40,<=50K,Private,Some College,White-Collar
28,Never-married,Other-relative,Female,0,0,40,<=50K,Private,High School,Blue-Collar
47,Never-married,Own-child,Male,0,0,41,<=50K,Private,High School,White-Collar
22,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,Some College,Blue-Collar
40,Married-civ-spouse,Wife,Female,0,0,30,<=50K,Private,High School,Sales
33,Married-spouse-absent,Unmarried,Female,0,0,38,<=50K,Private,High School,Service
37,Married-civ-spouse,Husband,Male,7688,0,50,>50K,Self-Employed,Advanced,White-Collar
49,Married-civ-spouse,Husband,Male,0,0,50,>50K,Government,Advanced,White-Collar
59,Married-civ-spouse,Husband,Male,99999,0,84,>50K,Self-Employed,Advanced,White-Collar
55,Married-civ-spouse,Husband,Male,4386,0,40,>50K,Private,High School,Blue-Collar
64,Married-civ-spouse,Wife,Female,10566,0,35,<=50K,Private,Some College,White-Collar
58,Married-civ-spouse,Husband,Male,15024,0,60,>50K,Self-Employed,High School,White-Collar
29,Married-civ-spouse,Husband,Male,0,0,45,>50K,Private,Dropout,Blue-Collar
53,Married-civ-spouse,Husband,Male,0,0,40,>50K,Private,High School,Sales
29,Married-civ-spouse,Husband,Male,0,0,50,<=50K,Private,Some College,Blue-Collar
36,Married-civ-spouse,Husband,Male,0,0,50,>50K,Private,Some College,White-Collar
31,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Government,High School,Sales
18,Never-married,Own-child,Female,0,0,10,<=50K,Unemployed,Dropout,Sales
44,Never-married,Own-child,Male,0,0,40,<=50K,Private,Some College,Blue-Collar
37,Married-civ-spouse,Husband,Male,99999,0,50,>50K,Self-Employed,Advanced,White-Collar
56,Married-civ-spouse,Wife,Female,15024,0,24,>50K,Private,High School,White-Collar
23,Married-civ-spouse,Wife,Female,0,0,35,<=50K,Private,Dropout,Blue-Collar
57,Married-civ-spouse,Wife,Female,0,0,40,>50K,Government,Some College,White-Collar
24,Never-married,Not-in-family,Male,0,0,39,<=50K,Private,Bachelors,White-Collar
64,Married-civ-spouse,Husband,Male,0,0,60,>50K,Self-Employed,High School,White-Collar
44,Married-civ-spouse,Husband,Male,5013,0,60,<=50K,Self-Employed,High School,White-Collar
26,Never-married,Own-child,Female,0,0,40,<=50K,Private,High School,White-Collar
41,Married-civ-spouse,Wife,Female,0,0,48,>50K,Government,Bachelors,White-Collar
26,Never-married,Not-in-family,Female,0,0,35,<=50K,Private,Bachelors,Service
30,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,White-Collar
40,Married-civ-spouse,Husband,Male,0,0,50,>50K,Private,Advanced,White-Collar
44,Married-civ-spouse,Husband,Male,0,1902,40,>50K,Government,Advanced,White-Collar
60,Married-civ-spouse,Husband,Male,0,1887,40,>50K,Private,Some College,White-Collar
41,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Bachelors,Blue-Collar
45,Married-civ-spouse,Husband,Male,0,0,60,>50K,Private,High School,Blue-Collar
51,Never-married,Not-in-family,Male,0,0,40,<=50K,Self-Employed,High School,Sales
36,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,High School,Service
18,Never-married,Own-child,Female,0,0,40,<=50K,Private,High School,Sales
17,Never-married,Own-child,Female,0,0,21,<=50K,Private,Dropout,Service
41,Married-civ-spouse,Husband,Male,0,0,40,>50K,Government,Some College,White-Collar
39,Divorced,Not-in-family,Female,0,0,60,<=50K,Private,Some College,White-Collar
58,Married-civ-spouse,Husband,Male,0,0,40,>50K,Private,Some College,White-Collar
25,Never-married,Own-child,Male,0,0,40,<=50K,Private,High School,Sales
22,Never-married,Not-in-family,Male,0,0,24,<=50K,Private,Dropout,Blue-Collar
54,Married-civ-spouse,Husband,Male,0,0,67,<=50K,Private,Bachelors,Sales
34,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Advanced,Sales
61,Married-civ-spouse,Husband,Male,0,0,40,>50K,Private,High School,Blue-Collar
19,Never-married,Own-child,Female,0,0,20,<=50K,Private,Some College,Service
51,Widowed,Not-in-family,Female,0,0,40,<=50K,Private,Some College,Service
64,Married-civ-spouse,Husband,Male,0,0,10,<=50K,Self-Employed,Some College,Blue-Collar
42,Married-civ-spouse,Husband,Male,0,1977,40,>50K,Self-Employed,Bachelors,White-Collar
49,Married-civ-spouse,Husband,Male,0,0,45,>50K,Private,Some College,White-Collar
32,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
39,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Self-Employed,Dropout,Blue-Collar
61,Married-spouse-absent,Not-in-family,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
48,Married-civ-spouse,Husband,Male,0,0,70,>50K,Self-Employed,Some College,Blue-Collar
40,Married-civ-spouse,Wife,Female,0,0,55,>50K,Self-Employed,Bachelors,White-Collar
21,Never-married,Own-child,Female,0,0,40,<=50K,Private,High School,White-Collar
35,Separated,Unmarried,Female,0,0,40,<=50K,Private,Dropout,Blue-Collar
21,Never-married,Own-child,Female,0,0,35,<=50K,Private,Dropout,Support
20,Never-married,Own-child,Female,0,0,37,<=50K,Private,Some College,Service
37,Married-civ-spouse,Husband,Male,0,0,45,<=50K,Private,Some College,Sales
53,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
72,Married-civ-spouse,Husband,Male,1455,0,6,<=50K,Private,Bachelors,Sales
48,Married-civ-spouse,Husband,Male,0,0,99,<=50K,Private,High School,Blue-Collar
50,Married-civ-spouse,Husband,Male,0,0,70,>50K,Government,Advanced,White-Collar
18,Never-married,Own-child,Female,0,0,49,<=50K,Private,Dropout,Sales
42,Divorced,Unmarried,Female,0,0,40,<=50K,Private,High School,Blue-Collar
57,Married-civ-spouse,Husband,Male,0,0,40,>50K,Private,Dropout,Blue-Collar
25,Never-married,Own-child,Male,0,0,40,<=50K,Private,High School,Blue-Collar
33,Married-civ-spouse,Husband,Male,0,0,50,>50K,Government,High School,Blue-Collar
53,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Government,Some College,Service
19,Never-married,Own-child,Male,0,0,20,<=50K,Government,Some College,Blue-Collar
29,Never-married,Own-child,Female,0,0,10,<=50K,Government,Some College,Service
39,Divorced,Unmarried,Female,0,0,40,<=50K,Private,High School,Blue-Collar
25,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,Some College,Service
47,Married-civ-spouse,Husband,Male,0,0,50,>50K,Self-Employed,Some College,White-Collar
52,Never-married,Not-in-family,Male,0,0,50,<=50K,Self-Employed,High School,White-Collar
23,Never-married,Own-child,Male,0,0,40,<=50K,Private,High School,Blue-Collar
46,Married-civ-spouse,Husband,Male,0,0,40,>50K,Private,Advanced,Sales
46,Married-civ-spouse,Wife,Female,5178,0,40,>50K,Private,High School,Blue-Collar
35,Divorced,Unmarried,Male,0,0,40,<=50K,Private,High School,Blue-Collar
40,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Some College,Support
36,Married-civ-spouse,Husband,Male,0,1887,40,>50K,Self-Employed,Advanced,Support
39,Married-civ-spouse,Husband,Male,4386,0,55,<=50K,Private,Dropout,Blue-Collar
25,Married-civ-spouse,Wife,Female,0,0,40,<=50K,Private,High School,White-Collar
17,Never-married,Not-in-family,Male,0,0,50,<=50K,Private,Dropout,Service
41,Divorced,Unmarried,Female,0,0,45,<=50K,Government,High School,White-Collar
25,Never-married,Own-child,Male,0,0,9,<=50K,Government,Some College,White-Collar
54,Divorced,Not-in-family,Female,0,0,40,<=50K,Government,Advanced,White-Collar
28,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Government,Some College,Service
29,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,Some College,Blue-Collar
45,Married-civ-spouse,Husband,Male,0,0,50,>50K,Private,Bachelors,White-Collar
26,Married-civ-spouse,Husband,Male,0,0,50,>50K,Private,Some College,Sales
31,Never-married,Not-in-family,Female,0,0,50,<=50K,Private,Some College,White-Collar
57,Married-civ-spouse,Husband,Male,0,0,52,<=50K,Private,High School,Blue-Collar
45,Married-civ-spouse,Husband,Male,0,0,40,>50K,Government,Some College,Service
52,Married-civ-spouse,Husband,Male,0,0,60,>50K,Private,High School,Blue-Collar
75,Married-civ-spouse,Husband,Male,4931,0,3,<=50K,Self-Employed,Advanced,White-Collar
37,Married-civ-spouse,Husband,Male,0,0,52,<=50K,Private,High School,Blue-Collar
